ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
W45,F,45,49,0,49,Total,107,Minet Sepulveda,2021-11-06,2021 Howard Cohen American Masters
W45,F,45,49,49,55,Snatch,66,wendy spies,2024-09-25,2024 UMWF World Championships
W45,F,45,49,49,55,Clean & Jerk,79,wendy spies,2024-08-04,Money in the Bank 2024
W45,F,45,49,49,55,Total,144,wendy spies,2024-08-04,Money in the Bank 2024
W45,F,45,49,55,59,Snatch,61,Nadia Isidoro,2024-04-20,Hassle Free Barbell Spring Breaker
W45,F,45,49,55,59,Clean & Jerk,77,Nadia Isidoro,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W45,F,45,49,55,59,Total,136,Nadia Isidoro,2024-04-20,Hassle Free Barbell Spring Breaker
W45,F,45,49,59,64,Snatch,58,Catherine Moore,2023-09-15,"The 2023 Nike North American Open Series 2, powered by Rogue"
W45,F,45,49,59,64,Clean & Jerk,71,Catherine Moore,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
W45,F,45,49,59,64,Total,128,Catherine Moore,2023-09-15,"The 2023 Nike North American Open Series 2, powered by Rogue"
W45,F,45,49,64,71,Snatch,70,meshelle mifsud,2018-11-04,Howard Cohen American Masters
W45,F,45,49,64,71,Clean & Jerk,85,Katherine Redcher Bowling,2019-11-23,Folsom Open 3
W45,F,45,49,64,71,Total,151,meshelle mifsud,2018-11-04,Howard Cohen American Masters
W45,F,45,49,71,76,Snatch,80,meshelle mifsud,2018-05-05,2018 PWA Masters Championships
W45,F,45,49,71,76,Clean & Jerk,90,meshelle mifsud,2018-05-05,2018 PWA Masters Championships
W45,F,45,49,71,76,Total,170,meshelle mifsud,2018-05-05,2018 PWA Masters Championships
W45,F,45,49,76,81,Snatch,65,Lorlyn Cabrera,2023-09-17,"The 2023 Nike North American Open Series 2, powered by Rogue"
W45,F,45,49,76,81,Clean & Jerk,80,Lorlyn Cabrera,2023-09-17,"The 2023 Nike North American Open Series 2, powered by Rogue"
W45,F,45,49,76,81,Total,145,Lorlyn Cabrera,2023-09-17,"The 2023 Nike North American Open Series 2, powered by Rogue"
W45,F,45,49,81,87,Snatch,60,Jennifer Valosek,2022-04-30,Evo Open
W45,F,45,49,81,87,Clean & Jerk,80,Jennifer Valosek,2022-04-30,Evo Open
W45,F,45,49,81,87,Total,140,Jennifer Valosek,2022-04-30,Evo Open
W45,F,45,49,87,>87,Snatch,75,Maika Godwin,2020-02-01,Folsom Open 1
W45,F,45,49,87,>87,Clean & Jerk,90,Maika Godwin,2020-09-20,Nike 2020 Online American Open Series 3 powered by Rogue
W45,F,45,49,87,>87,Total,165,Maika Godwin,2020-02-01,Folsom Open 1
M45,M,45,49,0,55,Snatch,,,,
M45,M,45,49,0,55,Clean & Jerk,,,,
M45,M,45,49,0,55,Total,,,,
M45,M,45,49,55,61,Snatch,,,,
M45,M,45,49,55,61,Clean & Jerk,,,,
M45,M,45,49,55,61,Total,,,,
M45,M,45,49,61,67,Snatch,,,,
M45,M,45,49,61,67,Clean & Jerk,,,,
M45,M,45,49,61,67,Total,,,,
M45,M,45,49,67,73,Snatch,92,Sid Florendo,2024-12-05,"The 2024 Nike North American Open Finals, powered by Rogue"
M45,M,45,49,67,73,Clean & Jerk,113,Sid Florendo,2024-12-05,"The 2024 Nike North American Open Finals, powered by Rogue"
M45,M,45,49,67,73,Total,205,Sid Florendo,2024-12-05,"The 2024 Nike North American Open Finals, powered by Rogue"
M45,M,45,49,73,81,Snatch,90,Gerald See,2018-12-01,Alyssa's meet
M45,M,45,49,73,81,Clean & Jerk,112,CHIN SONU,2022-08-14,Money in the Bank 22'
M45,M,45,49,73,81,Total,199,Christopher McManus,2019-12-15,Hassle Free Winter Breaker
M45,M,45,49,81,89,Snatch,115,Christopher Robertson,2025-04-03,The 2025 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M45,M,45,49,81,89,Clean & Jerk,134,Christopher Robertson,2025-02-08,Max's Gym - Oakland Open 2025
M45,M,45,49,81,89,Total,246,Christopher Robertson,2025-02-08,Max's Gym - Oakland Open 2025
M45,M,45,49,89,96,Snatch,91,Kevin Lee,2025-05-18,Capital Gainz
M45,M,45,49,89,96,Clean & Jerk,119,Kevin Lee,2025-05-18,Capital Gainz
M45,M,45,49,89,96,Total,210,Kevin Lee,2025-05-18,Capital Gainz
M45,M,45,49,96,102,Snatch,80,ADAM LORIMER,2023-10-14,Diablo Fall Classic
M45,M,45,49,96,102,Clean & Jerk,115,ADAM LORIMER,2023-10-14,Diablo Fall Classic
M45,M,45,49,96,102,Total,195,ADAM LORIMER,2023-10-14,Diablo Fall Classic
M45,M,45,49,102,109,Snatch,108,Tomas Kaselionis,2021-11-06,2021 Howard Cohen American Masters
M45,M,45,49,102,109,Clean & Jerk,124,Kaleo Cornwell,2024-08-03,Money in the Bank 2024
M45,M,45,49,102,109,Total,229,Tomas Kaselionis,2021-11-06,2021 Howard Cohen American Masters
M45,M,45,49,109,>109,Snatch,125,Jason Kristal,2024-03-22,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
M45,M,45,49,109,>109,Clean & Jerk,150,Martin Sisneroz,2024-10-06,Pacific Northwest WSO Championship
M45,M,45,49,109,>109,Total,272,Martin Sisneroz,2024-10-06,Pacific Northwest WSO Championship
W50,F,50,54,0,45,Snatch,53,Jodie Kubota,2022-03-27,2022 HF EVO Springbreaker
W50,F,50,54,0,45,Clean & Jerk,58,Jodie Kubota,2022-03-27,2022 HF EVO Springbreaker
W50,F,50,54,0,45,Total,111,Jodie Kubota,2022-03-27,2022 HF EVO Springbreaker
W50,F,50,54,0,49,Snatch,44,Lisa Renschen,2018-05-05,2018 PWA Masters Championships
W50,F,50,54,0,49,Clean & Jerk,58,Lisa Renschen,2018-11-04,Howard Cohen American Masters
W50,F,50,54,0,49,Total,102,Lisa Renschen,2018-05-05,2018 PWA Masters Championships
W50,F,50,54,49,55,Snatch,61,Rosanna Sansone,2024-03-21,The Nike 2024 USA Weightlifting Masters National Championships Powered by Rogue Fitness
